compound,Tc,source
iron,1041K,2
Fe,1930K,15
Co,2550K,15
Ni,620K,15
HoCo2Mn,248K,18
ErCo2Mn,222K,18
Cr2Ge2Te6,66K.,27
"(Ga1-x,Fex)Sb",above300K,33
Cu2MnBO5,92K,34
MnSn,54K.,38
MnSn,235K.,38
Sn0.95Co0.05O2,650K,41
"(In1-x,Fex)Sb",390K,45
Li2Fe2SSe,about1000K,48
BaFeO3,700-900K.,49
BaFeO3,111K,49
BaFeO3,235K,49
Mn,280K,52
FeGa3-yGey,3.3K,56
FeGa3-yGey,75K,56
scandiummonochloride,250K,58
VSeS,278K,65
SrRuO3,150K.,67
Sr2FeReO6,400K,78
CFO,78 5 K,87
LSMO,330K,94
AlFe2B2,274K.,96
Au4Mn,385K,101
La0.7Sr0.3MnO3,19K,102
BaZn2As2,230K,105
InMnP,42 K,131
HoNi5,5.5K,147
EuO.,69K,148
RuSr  2 GdCu  2 O  8,131K,156
RuSr  2 EuCu  2 O  8,133K,156
FeCl  2,25K,158
FeCl  2,69-102K,158
CrI 3,45K.,169
CrTe2,305K.,172
Fe,1044K,173
Fe,1185K,173
Li1.15(Zn0.9Mn0.1)P,22K.,174
Sn0.95Fe0.05O2,610K,190
Nd2Fe14B,586to543K.,194
YbIr3Ge7,2.4K.,195
